date	user	intensity	diameter	power	factor	note
11-Sep-2025 14:25:53	Local-admin	1	2000	397000	0.126369024814965	
12-Jul-2025 14:28:49	Local-admin	1	1000	40700	0.0518208494707211	
11-Jul-2025 11:55:54	Local-admin	1	1000	37200	0.0473645110641481	
11-Jul-2025 11:18:04	Local-admin	1	1000	85700	0.109116628983803	
29-Aug-2024 14:45:04	Local-admin	1	1000	26900	0.0342501437533759	
26-Aug-2024 14:44:14	Local-admin	1	1000	45200	0.0575504274220294	
26-Aug-2024 11:17:10	Local-admin	1	500	1	5.09295817894065e-06	
21-Mar-2024 12:53:34	admin	1	500	117	0.000595876106936056	
17-Sep-2025 11:01:41	Local-admin	1	2000	427700	0.136141138320807	
