date	user	intensity	diameter	power	factor	note
11-Sep-2025 14:25:42	Local-admin	1	2000	1145000	0.36446481968044	
12-Jul-2025 14:28:39	Local-admin	1	1000	6650	0.00846704297248883	
11-Jul-2025 11:55:45	Local-admin	1	1000	5850	0.0074484513367007	
11-Jul-2025 11:17:56	Local-admin	1	1000	85700	0.109116628983803	
29-Aug-2024 14:44:50	Local-admin	1	1000	4260	0.00542400046057179	
26-Aug-2024 14:44:07	Local-admin	1	1000	45200	0.0575504274220294	
26-Aug-2024 11:17:04	Local-admin	1	500	4	2.03718327157626e-05	
21-Mar-2024 12:53:30	admin	1	500	117	0.000595876106936056	
17-Sep-2025 11:01:32	Local-admin	1	2000	992300	0.315858900060176	
